wallets,essence,staking,locking
neutron1004fzxae7cc38kdv2xe0t7jgf6w4enxj7s3546,1000000,0,1000000
neutron100umj0vh33m70jygraewjyp8w7lyt30ny29k4h,21914005684,253356,21913752328
neutron102r9mpa7cz8apa3987xgaeaevz4v4z5mw8kwvk,33490577,0,33490577
neutron103htq0q4s0vl6f6r9tjg4etdql4624p3guztuz,1783815919,0,1783815919
neutron105wg9gqx0amjvj38n90500ksfzea2c9l8dhs4f,13722611287,0,13722611287
neutron106yzc9azs6p0yveq8qmmadp2gpddc95faqg2k0,1503753800,0,1503753800
neutron108esz7zhm37k6tfmrvkmxweav8nelvmpa66s6n,5078245382,0,5078245382
neutron108r2yv70qk4rl8e2enyp2yrk7mt6ctw4nvdrle,1501000000,0,1501000000
neutron10905rstxf5tzj0w6gguaa76ma7s32v48mhglpz,80000000000,0,80000000000
neutron10948cgxnv9xxnqx8ssnw8s7y9pw8kelwztuwdc,98774063,0,98774063
neutron109lurz66grgz6h2aya2cr77yznsu8hsfuhskvv,863146131,0,863146131
neutron10aumzfvd2q6ngxxenpsudvwr3lt7p2taylrp5a,166308758,16820244,149488514
neutron10axgat7ld03gvegd3n3gky0w3d2m8c27aj8y5e,5001688407,0,5001688407
neutron10c7gwzg5jr8k09lmx0ndq373k2me8l248paxhn,20050000000,0,20050000000
neutron10ck6m59mvvx05jtjd7k9a3xwmq99y6p8qpm6dr,271860169,0,271860169
neutron10d9thpm4l3aapp7ftpullgyg3n5f5zcpp2ngk7,5001920200,0,5001920200
neutron10dd59s5j0ylt032lyuvlq0gnvkxwyh0wlh2qhm,20036586039,39,20036586000
neutron10deyq2lcqtmnmq6gk9wlctud9ju9fd4xqaaxs3,10000000,0,10000000
neutron10dy4ce3fnasz9ac5mnye5mzma67kfx523cd5ww,57803752,0,57803752
neutron10e0vrjx5r2fdkdu3s56gkgwusu56n49c67dd5a,370664065,0,370664065
neutron10ealz8l4pn0qeumpe6ms2p4a0k8tjq72psf2aa,2984873218,0,2984873218
neutron10epvmyj63ke03q3uru7fy8dhr7p7v2y5fe4x0v,126046656,54,126046602
neutron10hvz04hh92xzct5hxnpsn5h2fp3p4ammcg425r,5001031238,31238,5001000000
neutron10j4u3eqxhtqwuurrryufymv39gsm28q34097ry,84357936,0,84357936
neutron10jvlvh2tkcqfp0hfynr0k67ymm49j4vwadswpe,5001070325,70325,5001000000
neutron10l3q88d8y9lq22c3v4getkrzvrl8qca5sa40zu,1574680818,0,1574680818
neutron10maww4mrlj23atuckhljzdt3zfwu70400apz03,101000000,0,101000000
neutron10mlxzzaud3lm2mceffdu83l7wvga3x2vfd5mlw,4110985020,0,4110985020
neutron10mwrnqd7l7ta5dekzdf4x95uzc5le0wppyaman,467377001,0,467377001
neutron10p7g2mpyd4rpjjpq7s6szd0vf2y2dnnkq9ltgx,394262306,0,394262306
neutron10pgvgc0ks3zl8l5723mve5zy8vfu2um9lfe4rc,5224475027,39027,5224436000
neutron10pjj5ye6spe7vgqcph2exm2pcx4m5gv9kj8m67,5001000000,0,5001000000
neutron10prs8xevcelfjk3h7xnlefr6ztv7x3exk2zfxp,984530442,0,984530442
neutron10scsyztp96670hl2j53452l5jqfd923rdt0cev,568081906,0,568081906
neutron10tlzatq8xjwymdczs6v850c6fl97tcgfdqswxh,1917053196,0,1917053196
neutron10uple3kqcsk8k8fnle62zaa8e4gn2wtktxl4gf,2137059176,41131310,2095927866
neutron10ver7t24cfl0tfnud782xr9q774qeup022empn,21523999333,0,21523999333
neutron10vjxcepr4nl3dufu6tp8n8zvdr9a7kc678fugr,22863101181,0,22863101181
